About,Informazioni
"The auto response to buyers' feedbacks can operate in two modes:
                <ul class=""list"">
                    <li><b>Cycle Mode</b> - the system chooses existing response template according to the order and sends it out.</li>
                    <li><b>Random Mode</b> - the system randomly chooses existing response template and sends it out.</li>
                </ul>","La risposta automatica ai Feedback degli acquirenti pu• avvenire secondo due modalità:
                <ul class=""list"">
                    <li><b>Modalità ciclo</b>: il sistema sceglie il modello di risposta esistente in base all'ordine e lo invia.</li>
                    <li><b>Modalità casuale</b>: il sistema sceglie casualmente il modello di risposta esistente e lo invia.</li>
                </ul>"
Disabled,Disabilitata
Cycle Mode,Modalità ciclo
Random Mode,Modalità casuale
Choose Disabled if you do not want to send automatic responses.,Scegli Disabilitata se non desideri inviare risposte automatiche.
Send to,Invia a
All,Tutto
Which feedbacks auto responses should be sent to: all or positive only.,Quali risposte automatiche dei Feedback devono essere inviate: tutte o solo positive.
Response Templates,Modelli di risposta
Add Response Template,Aggiungi modello di risposta
Edit Response Template,Modifica modello di risposta
Should be between 2 and 80 characters long.,La lunghezza deve essere compresa tra 2 e 80 caratteri.
Please enter correct number of characters.,Immetti il numero di caratteri corretto.
"There is a possibility of adding eBay account in Production (Live eBay) or Sandbox (Test eBay) mode.<br/><br/>
    <b>Note:</b> You cannot use your Production eBay account for the Sandbox environment and vice versa. To register the Sandbox account go to <a href=""http://www.developer.ebay.com"" target=""_blank"">www.developer.ebay.com</a><br/>
    <br/>After completing the required information in General block, press the <span style=""text-decoration: underline;"">Get Token</span> button. You will be redirected to the eBay website. Sign-in and press <i>I Agree</i> to allow your eBay account connect to the M2E Pro.
    <br/><br/>If Token has been successfully accepted, Activated status will turn to <i>Yes</i>. Do NOT leave the tab yet. Press <span style=""text-decoration: underline;"">Save And Continue Edit</span>.
    <br/>After saving you will see the 3rd Party Listings block and additional setting tabs under Configuration in the left side menu. <br/>","L'account eBay pu• essere aggiunto in modalità Produzione (eBay dinamico) o Sandbox (eBay di prova).<br/><br/>
    <b>Nota:</b> non puoi utilizzare il tuo account eBay in modalità Produzione per l'ambiente Sandbox e viceversa. Per registrare l'account in modalità Sandbox, visita il sito Web <a href=""http://www.developer.ebay.com"" target=""_blank"">www.developer.ebay.com</a><br/>
    <br/>Dopo aver immesso le informazioni richieste nel blocco Generale, premi il pulsante <span style=""text-decoration: underline;"">Ottieni codice temporaneo</span>. Sarai reindirizzato al sito Web eBay. Accedi e premi <i>Accetto</i> per consentire il collegamento del tuo account eBay a M2E Pro.
    <br/><br/>Se il codice temporaneo è stato accettato correttamente, lo stato Attivato verrà impostato su <i>Sì</i>. NON uscire ancora dalla scheda. Premi <span style=""text-decoration: underline;"">Salva e continua modifica</span>.
    <br/>Una volta completato il salvataggio, visualizzerai il blocco di inserzioni di terze parti e schede di impostazioni aggiuntive in Configurazione, nel menu a sinistra. <br/>"
Be attentive! By deleting account you delete all information on it from M2E Pro server. This will cause inappropriate work of all accounts' copies.,Attenzione L'eliminazione dell'account comporta l'eliminazione di tutte le relative informazioni dal server M2E Pro. Questo comporta un lavoro inappropriato per tutte le copie degli account.
The specified title is already used for other account. Account title must be unique.,Il titolo specificato è già utilizzato per un altro account. Il titolo dell'account deve essere univoco.
You must get token.,Devi acquisire il codice temporaneo.
Title or identifier of eBay account for your internal use.,Titolo o identificatore dell'account eBay per uso interno.
Mode,Modalità
Production (Live eBay),Produzione (eBay dinamico)
Sandbox (Test eBay),Sandbox (eBay di prova)
Environment of eBay account.,Ambiente dell'account eBay.
Token,Codice temporaneo
Grant Access,Concedi accesso
"The  operation of getting token is limited to 5 minutes by eBay. If you exceed it, you should start getting token again.","L'operazione di acquisizione del codice temporaneo è limitata a 5 minuti da eBay. In caso di superamento, devi iniziare nuovamente l'acquisizione del codice temporaneo."
Activated,Attivata
Expiration Date,Data di scadenza
My Messages Import,Importazione dei miei messaggi
"Here you can enable receiving and saving buyers' messages.<br/><br/>
                        <b>Note:</b> To allow receiving messages from eBay, My Messages Synchronization should be enabled in eBay > Configuration > Synchronization.","Qui puoi abilitare la ricezione e il salvataggio dei messaggi degli acquirenti.<br/><br/>
                        <b>Nota:</b> per consentire la ricezione di messaggi da eBay, è necessario abilitare Sincronizzazione dei miei messaggi in eBay > Configurazione > Sincronizzazione."
Import My Messages,Importa i miei messaggi
Allows importing My Messages.,Consente l'importazione dei messaggi personali.
"If Yes is chosen, you must select at least one attribute for product mapping.","Se scegli Sì, devi selezionare almeno un attributo per l'associazione dei prodotti."
"The 3rd Party Listings are the items, which were listed on eBay without using M2E Pro
                extension. <br/>
                To allow importing of these listings for the current eBay Account, set Import eBay listings to <i>Yes</i>.
                Imported Listings can be found in %s > Manage Listings > 3rd Party Listings.
                <br/><br/>

                <b>Note:</b> The 3rd Party Listings Synchronization must be enabled in %s > Configuration > Synchronization.
                <br/><br/>
                To map the products of the 3rd Party Listings with existing products in Magento by Custom Label (SKU)
                or Title, set Product Mapping to <i>Yes</i> and choose appropriate attribute(s).
                A Magento product will be mapped if at least one of the chosen attributes meets the same
                value in eBay Listing as it has in Magento.
                <br/><br/>
                Mapped 3rd Party Listings can be synchronized according to the rules you can set by clicking on the Synchronization Settings button.
                <br/><br/>
                <b>Note:</b> Auto mapping action is performed only once during the first
                3rd Party Listings Synchronization. Afterwards, it can be performed manually on
                the 3rd Party Listings page (%s > Manage Listings > 3rd Party Listings).

                ","Le inserzioni di terze parti sono gli oggetti che sono stati messi in vendita su eBay senza utilizzare l'estensione
                M2E Pro. <br/>
                Per consentire l'importazione di queste inserzioni per l'account eBay corrente, imposta Importa inserzioni eBay su <i>Sì</i>.
                Le inserzioni importate sono disponibili in %s > Gestione inserzioni > Inserzioni di terze parti.
                <br/><br/>

                <b>Nota:</b> la sincronizzazione delle inserzioni di terze parti deve essere abilitata in %s > Configurazione > Sincronizzazione.
                <br/><br/>
                Per associare i prodotti delle inserzioni di terze parti ai prodotti esistenti in Magento in base all'etichetta personalizzata (codice prodotto)
                o al titolo, imposta Associazione prodotti su <i>Sì</i> e scegli gli attributi appropriati.
                Un prodotto Magento verrà associato se almeno uno degli attributi scelti soddisfa, nell'inserzione eBay, lo stesso 
                valore presente in Magento.
                <br/><br/>
                Le inserzioni di terze parti associate possono essere sincronizzate in base alle regole che puoi impostare facendo clic sul pulsante Impostazioni sincronizzazione.
                <br/><br/>
                <b>Nota:</b> l'azione di associazione automatica viene effettuata solo una volta durante la prima
                sincronizzazione delle inserzioni di terze parti. Successivamente, pu• essere effettuata manualmente nella pagina
                Inserzioni di terze parti (%s > Gestione inserzioni > Inserzioni di terze parti).

                "
Import 3rd Party Listings,Importa inserzioni di terze parti
Allows importing 3rd Party Listings.,Consente l'importazione di inserzioni di terze parti.
Product Mapping,Associazione prodotti
Maps eBay product with Magento product.,Associa un prodotto eBay a un prodotto Magento.
Attributes Of Mapping eBay Items To Magento Products,Attributi dell'associazione di oggetti eBay a prodotti Magento
Custom Label (SKU),Etichetta personalizzata (codice prodotto)
None,Nessuno
Product SKU,Codice prodotto
Custom Attribute,Attributo personalizzato
Priority,Priorità
Listing Title,Titolo inserzione
Product Name,Nome prodotto
Synchronization of Mapped Items,Sincronizzazione di oggetti associati
Enabled,Abilitata
Enables / Disables synchronization of Mapped 3rd Party<br/>Listings for the current account.,Abilita/disabilita la sincronizzazione delle inserzioni<br/>di terze parti associate per l'account corrente.
Settings for 3rd Party Listings Synchronization.,Impostazioni della sincronizzazione delle inserzioni di terze parti.
Related Store Views,Negozi correlati
Related Store View,Negozio correlato
"This section displays all <i>Enabled</i> Marketplaces in eBay > Configuration > Marketplaces.
And allows you to choose Store Views the items' information for Synchronization processes have to be taken from depending on the 3rd Party Listing Marketplaces.
<br/><br/>
<b>Note:</b> If the product doesn't have information in specified Store View, then all necessary data will be taken from default values of this product.
","In questa sezione vengono visualizzati tutti i mercati <i>Abilitati</i> in eBay > Configurazione > Mercati.
Inoltre, è possibile scegliere i negozi da cui è necessario acquisire le informazioni sugli oggetti per i processi di sincronizzazione a seconda dei mercati delle inserzioni di terze parti.
<br/><br/>
<b>Nota:</b> se nel negozio specificato non sono disponibili informazioni sul prodotto, tutti i dati necessari saranno acquisiti dai valori predefiniti di questo prodotto.
"
"
This tab contains settings of eBay Orders, eBay Customers import; Magento Orders and Products creation.<br/>
If you set Import eBay Orders to <i>Yes</i>, a new eBay order will be imported to the system and can be found in %s > Sales > eBay Orders.<br/><br/>
It is possible to allow auto creation of Magento Orders based on imported eBay Orders for products listed by:
<ul class=""list"">
    <li>M2E Pro;</li>
    <li>Any Other Software.</li>
</ul>
<b>Note:</b> The Product Stock QTY only reduces after Magento Order creation.<br/>
These type of orders can be managed as typical Magento Orders in Magento > Sales > Orders.<br/><br/>
<b>Note:</b> To receive orders from eBay, Order Synchronization must be enabled in %s > Configuration > Synchronization.","
Questa scheda contiene le impostazioni relative agli ordini eBay, all'importazione di clienti eBay, agli ordini Magento e alla creazione di prodotti.<br/>
Se imposti Importa ordini eBay su <i>Sì</i>, un ordine eBay nuovo verrà importato nel sistema e sarà disponibile in %s > Vendite > Ordini eBay.<br/><br/>
È possibile consentire la creazione automatica di ordini Magento in base agli ordini eBay importati per i prodotti messi in vendita tramite:
<ul class=""list"">
    <li>M2E Pro;</li>
    <li>Qualsiasi altro software.</li>
</ul>
<b>Nota:</b> la QTA di scorte dei prodotti viene ridotta solo dopo la creazione di un ordine Magento.<br/>
Questi tipi di ordini possono essere gestiti come ordini Magento classici in Magento > Vendite > Ordini.<br/><br/>
<b>Nota:</b> per ricevere ordini da eBay, in %s > Configurazione > Sincronizzazione è necessario abilitare Sincronizzazione ordini."
No Customer entry is found for specified ID.,Nessun post cliente individuato per l'ID specificato.
Import eBay Orders,Importa ordini eBay
Allows importing orders from eBay to M2E Pro.,Consente l'importazione di ordini da eBay a M2E Pro.
Product Is Listed By M2E Pro,Il prodotto è messo in vendita da M2E Pro
