About,Acerca de
"Here you can enable receiving and saving buyers' messages.<br/><br/>
                        <b>Note:</b> To allow receiving messages from eBay, My Messages Synchronization should be enabled in eBay > Configuration > Synchronization.","Aquí puedes activar la recepción y el almacenamiento de los mensajes de los compradores.<br/><br/>
                        <b>Nota</b>: para permitir la recepción de mensajes de eBay, se debe activar Sincronización de mis mensajes en eBay > Configuración > Sincronización."
Import My Messages,Importar mis mensajes
Allows importing My Messages.,Permite la importación de Mis mensajes.
"If Yes is chosen, you must select at least one attribute for product mapping.","Si eliges Sí, debes seleccionar al menos un atributo para la asignación de producto."
"The 3rd Party Listings are the items, which were listed on eBay without using M2E Pro
                extension. <br/>
                To allow importing of these listings for the current eBay Account, set Import eBay listings to <i>Yes</i>.
                Imported Listings can be found in %s > Manage Listings > 3rd Party Listings.
                <br/><br/>

                <b>Note:</b> The 3rd Party Listings Synchronization must be enabled in %s > Configuration > Synchronization.
                <br/><br/>
                To map the products of the 3rd Party Listings with existing products in Magento by Custom Label (SKU)
                or Title, set Product Mapping to <i>Yes</i> and choose appropriate attribute(s).
                A Magento product will be mapped if at least one of the chosen attributes meets the same
                value in eBay Listing as it has in Magento.
                <br/><br/>
                Mapped 3rd Party Listings can be synchronized according to the rules you can set by clicking on the Synchronization Settings button.
                <br/><br/>
                <b>Note:</b> Auto mapping action is performed only once during the first
                3rd Party Listings Synchronization. Afterwards, it can be performed manually on
                the 3rd Party Listings page (%s > Manage Listings > 3rd Party Listings).

                ","Los anuncios externos son los artículos que se pusieron en venta en eBay sin usar la extensión 
                M2E Pro. <br/>
                Para permitir la importación de estos anuncios en la cuenta de eBay actual, establece Importar anuncios de eBay en <i>Sí</i>.
                Los anuncios importados pueden encontrarse en %s > Gestionar anuncios > Anuncios externos.
                <br/><br/>

                <b>Nota</b>: la opción Sincronización de anuncios externos debe estar activada en %s > Configuración > Sincronización.
                <br/><br/>
                Para asignar los productos de los anuncios externos a los productos existentes en Magento por etiqueta personalizada (número de referencia)
                o título, establece Asignación de productos en <i>Sí</i> y elige los atributos adecuados.
                Se asignará un producto de Magento si al menos uno de los atributos elegidos tiene el mismo
                valor en el anuncio de eBay que en Magento.
                <br/><br/>
                Los anuncios externos asignados se pueden sincronizar según las reglas que se pueden establecer pulsando el botón Configuración de sincronización.
                <br/><br/>
                <b>Nota</b>: la asignación automática se realiza una sola vez durante la primera
                sincronización de los anuncios externos. Después, se puede realizar manualmente en
                la página Anuncios externos (%s > Gestionar anuncios > Anuncios externos).

                "
Import 3rd Party Listings,Importar anuncios externos
Allows importing 3rd Party Listings.,Permite importar anuncios externos.
Product Mapping,Asignación de producto
Maps eBay product with Magento product.,Asigna el producto de eBay a un producto de Magento.
Attributes Of Mapping eBay Items To Magento Products,Atributos de la asignación de artículos de eBay a productos de Magento
Custom Label (SKU),Etiqueta personalizada (número de referencia)
None,Ninguno
Product SKU,Número de referencia del producto
Custom Attribute,Atributo personalizado
Priority,Prioridad
Listing Title,Título del anuncio
Product Name,Nombre del producto
Synchronization of Mapped Items,Sincronización de los artículos asignados
Enabled,Activado
Enables / Disables synchronization of Mapped 3rd Party<br/>Listings for the current account.,Activa o desactiva la sincronización de los anuncios<br/>externos asignados para la cuenta actual.
Settings for 3rd Party Listings Synchronization.,Configuración de la sincronización de anuncios externos.
Related Store Views,Vistas de tienda relacionadas
Related Store View,Vista de tienda relacionada
"This section displays all <i>Enabled</i> Marketplaces in eBay > Configuration > Marketplaces.
And allows you to choose Store Views the items' information for Synchronization processes have to be taken from depending on the 3rd Party Listing Marketplaces.
<br/><br/>
<b>Note:</b> If the product doesn't have information in specified Store View, then all necessary data will be taken from default values of this product.
","En esta sección se muestran todos los mercados <i>activados</i> en eBay > Configuración > Mercados.
Además, permite elegir las vistas de tienda de las que se debe obtener la información de los artículos para los procesos de sincronización, según los mercados de anuncios externos.
<br/><br/>
<b>Nota</b>: si el producto no tiene información en la vista de tienda especificada, todos los datos necesarios se obtendrán de los valores predeterminados de este producto.
"
"
This tab contains settings of eBay Orders, eBay Customers import; Magento Orders and Products creation.<br/>
If you set Import eBay Orders to <i>Yes</i>, a new eBay order will be imported to the system and can be found in %s > Sales > eBay Orders.<br/><br/>
It is possible to allow auto creation of Magento Orders based on imported eBay Orders for products listed by:
<ul class=""list"">
    <li>M2E Pro;</li>
    <li>Any Other Software.</li>
</ul>
<b>Note:</b> The Product Stock QTY only reduces after Magento Order creation.<br/>
These type of orders can be managed as typical Magento Orders in Magento > Sales > Orders.<br/><br/>
<b>Note:</b> To receive orders from eBay, Order Synchronization must be enabled in %s > Configuration > Synchronization.","
Esta pestaña contiene la configuración de los pedidos de eBay, la importación de clientes de eBay y la creación de pedidos y productos de Magento.<br/>
Si estableces Importar pedidos de eBay en <i>Sí</i>, se importará un nuevo pedido de eBay al sistema, que se puede encontrar en %s > Ventas > Pedidos de eBay.<br/><br/>
Es posible permitir la creación automática de pedidos de Magento en función de los pedidos de eBay importados para los productos puestos en venta por:
<ul class=""list"">
    <li>M2E Pro;</li>
    <li>Otro software.</li>
</ul>
<b>Nota</b>: la cantidad de existencias del producto solamente se reduce tras crear el pedido de Magento.<br/>
Estos tipos de pedidos pueden gestionarse como pedidos típicos de Magento en Magento > Ventas > Pedidos.<br/><br/>
<b>Nota</b>: para recibir pedidos de eBay, debe activarse la opción Sincronización de pedidos en %s > Configuración > Sincronización."
No Customer entry is found for specified ID.,No se encuentra ninguna entrada de cliente para el identificador especificado.
Import eBay Orders,Importar pedidos de eBay
Allows importing orders from eBay to M2E Pro.,Permite importar pedidos de eBay a M2E Pro.
Product Is Listed By M2E Pro,Producto puesto en venta por M2E Pro
Create Order in Magento,Crear pedido en Magento
Whether an order have to be created in Magento if a sold product belongs to M2E Pro Listings.,Indica si debe crearse un pedido en Magento en caso de que un producto vendido pertenezca a los anuncios de M2E Pro.
Store View Source,Origen de la vista de la tienda
Use Store View from Listing,Usar vista de la tienda del anuncio
Choose Store View Manually,Elegir vista de la tienda manualmente
If Store View have to be automatically taken from the listing or manually chosen from available Store View values.,Indica si la vista de la tienda debe tomarse automáticamente del anuncio o elegirse manualmente entre los valores disponibles para la misma.
Store View,Vista de la tienda
Store in which orders will be placed.,Tienda en la que se realizarán los pedidos.
Product Is Listed By Any Other Software,Producto puesto en venta por cualquier otro software
Whether an order have to be created in Magento if a sold product does not belong to M2E Pro Listings.,Indica si debe crearse un pedido en Magento en caso de que un producto vendido no pertenezca a los anuncios de M2E Pro.
Product Not Found,Producto no encontrado
Do Not Create Order,No crear pedido
Create Product and Order,Crear producto y pedido
What have to be done if a listed product does not exist in Magento.,Pasos a seguir si un producto puesto en venta no existe en Magento.
"<b>Note:</b> If there is a product with variations on eBay, a Simple product instead of product with variations is created in Magento.","<b>Nota</b>: si hay un producto con variantes en eBay, en Magento se crea un producto simple, sin variantes."
Product Tax Class,Clase de impuesto del producto
Tax Class which will be used in products created by M2E Pro.,Clase de impuesto que se usará en los productos creados por M2E Pro.
Customer Settings,Configuración del cliente
Customers,Clientes
"There are several ways to specify a customer for which Magento Orders will be created:
                <ul class=""list"">
                    <li><b>Guest Account</b> - the system does not require a customer account to be created. Default Guest Account will be defined as a customer. <br/>
                    <b>Note:</b> The Guest Checkout option must be enabled in Magento. (<i>Yes</i> must be chosen in the Allow Guest Checkout option in Magento > System > Configuration > Sales > Checkout tab). </li>
                    <li><b>Predefined Customer</b> - the system uses one predefined customer for all eBay orders related to this account. You will be required
                    to provide an ID of the existing Customer, which you can find in Magento > Customers > Manage Customers table.</li>
                    <li><b>Create New</b> - a new customer will be created in Magento, using eBay customer data of eBay Order.
                    <br/><b>Note:</b> A unique customer identifier is his e-mail address. If the one already exists among Magento customers e-mails,
                    the system uses this customer as owner of order and links order to him. A new customer will not be created.</li>
                </ul>","Existen varias formas de especificar un cliente para el que se crearán pedidos de Magento:
                <ul class=""list"">
                    <li><b>Cuenta de invitado</b>: el sistema no requiere que se cree una cuenta de cliente. La cuenta de invitado predeterminada se definirá como ""Cliente"". <br/>
                    <b>Nota:</b> la opción Compra sin registrarte debe estar activada en Magento. (Debe elegirse <i>Sí</i> en la opción Permitir pago y envío como invitado en Magento > Sistema > Configuración > Ventas > pestaña Pago y envío). </li>
                    <li><b>Cliente predefinido</b>: el sistema usa un cliente predefinido para todos los pedidos de eBay relacionados con esta cuenta. Deberás
                    proporcionar un identificador del cliente existente, que puedes encontrar en Magento > Clientes > tabla Gestionar clientes.</li>
                    <li><b>Crear nuevo</b>: se creará un nuevo cliente en Magento, con los datos de cliente de eBay del pedido de eBay.
                    <br/><b>Nota</b>: un identificador de cliente único es su dirección de correo electrónico. Si el identificador especificado ya figura en los correos electrónicos de los clientes de Magento,
                    el sistema usa este cliente como el propietario del pedido y le vincula el pedido a él. No se creará un nuevo cliente.</li>
                </ul>"
